white,white1,white2,white3,white4,white5,grey,grey1,grey2,grey3,grey4,grey5,black,black1,black2,black3,black4,black5,purple,purple1,purple2,purple3,purple4,purple5,blue,blue1,blue2,blue3,blue4,blue5,lblue,lblue1,lblue2,lblue3,lblue4,lblue5,green,green1,green2,green3,green4,green5,yellow,yellow1,yellow2,yellow3,yellow4,yellow5,orange,orange1,orange2,orange3,orange4,orange5,red,red1,red2,red3,red4,red5,lred,dred
1,0.949019608,0.850980392,0.749019608,0.650980392,0.501960784,0.921568627,0.823529412,0.68627451,0.458823529,0.22745098,0.090196078,0,0.501960784,0.349019608,0.250980392,0.149019608,0.050980392,0.42745098,0.894117647,0.796078431,0.690196078,0.317647059,0.207843137,0.007843137,0.68627451,0.380392157,0.066666667,0.003921569,0.003921569,0.678431373,0.933333333,0.870588235,0.8,0.384313725,0.2,0.188235294,0.815686275,0.639215686,0.462745098,0.141176471,0.094117647,1,1,1,1,0.749019608,0.501960784,1,1,1,1,0.784313725,0.525490196,0.874509804,0.988235294,0.97254902,0.956862745,0.658823529,0.439215686,1,0.752941176
1,0.949019608,0.850980392,0.749019608,0.650980392,0.501960784,0.921568627,0.823529412,0.68627451,0.458823529,0.22745098,0.090196078,0,0.501960784,0.349019608,0.250980392,0.149019608,0.050980392,0.149019608,0.796078431,0.592156863,0.388235294,0.11372549,0.074509804,0.239215686,0.858823529,0.71372549,0.57254902,0.176470588,0.11372549,0.741176471,0.945098039,0.894117647,0.843137255,0.505882353,0.317647059,0.662745098,0.949019608,0.894117647,0.847058824,0.490196078,0.329411765,0.91372549,0.984313725,0.97254902,0.952941176,0.694117647,0.462745098,0.549019608,0.909803922,0.815686275,0.725490196,0.411764706,0.274509804,0.058823529,0.796078431,0.596078431,0.4,0.043137255,0.02745098,0,0
1,0.949019608,0.850980392,0.749019608,0.650980392,0.501960784,0.921568627,0.823529412,0.68627451,0.458823529,0.22745098,0.090196078,0,0.501960784,0.349019608,0.250980392,0.149019608,0.050980392,0.556862745,0.945098039,0.890196078,0.839215686,0.411764706,0.274509804,0.419607843,0.996078431,0.988235294,0.984313725,0.31372549,0.203921569,0.890196078,0.976470588,0.952941176,0.933333333,0.792156863,0.584313725,0.231372549,0.82745098,0.662745098,0.501960784,0.176470588,0.121568627,0,0.8,0.6,0.4,0,0,0.047058824,0.807843137,0.615686275,0.423529412,0,0,0.266666667,0.847058824,0.690196078,0.541176471,0.196078431,0.133333333,0,0
