snapshots,AL,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,MK,NL,NO,PL,PT,RO,RS,SI,SK
2020-01-01 00:00:00,0.0,0.0,1484.5,0.0,62.8,0.0,17772.2,470.4,35288.7,227.9,17631.5,17778.9,2414.0,838.2,1053.2,5012.3,25804.9,573.1,1162.6,0.0,12883.0,0.0,0.0,4357.0,0.0,50.7,0.0,690.6
2020-01-01 01:00:00,0.0,0.0,1417.5,0.0,62.8,0.0,15068.6,470.4,32025.8,227.9,18107.1,19438.6,1976.2,838.2,799.9,3003.8,21635.2,573.1,1151.6,0.0,12458.4,0.0,0.0,4029.6,0.0,50.7,0.0,690.6
2020-01-01 02:00:00,0.0,0.0,1417.5,0.0,62.8,0.0,12698.5,0.0,30944.7,227.9,18128.7,18238.4,0.0,763.7,0.0,3696.1,17684.1,573.1,1151.6,0.0,11706.2,0.0,0.0,4029.6,0.0,50.7,0.0,690.6
2020-01-01 03:00:00,0.0,0.0,1135.4,0.0,62.8,0.0,13751.9,0.0,26215.5,227.9,15686.8,16068.5,0.0,178.6,0.0,2522.3,9418.1,573.1,1151.6,0.0,8740.7,0.0,0.0,4029.6,0.0,15.2,0.0,690.6
2020-01-01 04:00:00,0.0,0.0,759.9,0.0,62.8,0.0,13736.0,0.0,22155.9,227.9,12543.0,9590.6,0.0,0.0,0.0,1904.4,8496.6,573.1,1151.6,0.0,6929.2,0.0,0.0,4029.6,0.0,15.2,0.0,690.6
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,62.8,0.0,13888.3,0.0,21253.8,227.9,11213.2,7859.2,0.0,0.0,0.0,827.2,7835.8,573.1,1151.6,0.0,5348.1,0.0,0.0,4029.6,0.0,15.2,0.0,690.6
2020-01-01 06:00:00,0.0,0.0,409.2,0.0,62.8,0.0,12545.0,0.0,22313.7,227.9,12620.0,7988.7,0.0,838.2,0.0,1377.4,10253.1,573.1,1151.6,0.0,5614.1,0.0,0.0,3561.2,0.0,50.7,0.0,690.6
2020-01-01 07:00:00,0.0,0.0,1068.8,0.0,62.8,0.0,11805.7,0.0,23672.4,227.9,13907.3,12216.0,0.0,838.2,0.0,2640.9,14114.4,573.1,1151.6,0.0,6528.3,0.0,0.0,4029.6,0.0,50.7,0.0,690.6
2020-01-01 08:00:00,0.0,0.0,1097.7,0.0,62.8,0.0,12411.5,0.0,23459.8,227.9,13616.6,16396.2,0.0,838.2,0.0,2642.9,14506.0,573.1,1151.6,0.0,7520.1,0.0,0.0,4029.6,0.0,50.7,0.0,690.6
2020-01-01 09:00:00,0.0,454.9,1115.4,174.5,63.2,0.0,12041.5,204.2,24034.1,227.9,14419.6,19355.4,0.0,801.6,0.0,2637.2,12705.8,537.8,1818.9,0.0,9232.6,0.0,0.0,4029.6,0.0,53.1,0.0,668.2
2020-01-01 10:00:00,0.0,802.9,1322.7,174.5,63.2,0.0,11664.6,204.2,26694.0,227.9,14467.3,24421.6,1266.2,801.6,0.0,2635.2,10969.5,537.8,2292.6,0.0,11661.3,0.0,0.0,4029.6,0.0,53.1,0.0,668.2
2020-01-01 11:00:00,0.0,695.1,1417.5,174.5,63.2,0.0,11845.1,453.2,29205.3,227.9,15933.7,28088.6,1174.9,801.6,0.0,2647.2,10001.8,537.8,2292.6,0.0,11650.5,0.0,0.0,4029.6,0.0,53.1,0.0,668.2
2020-01-01 12:00:00,0.0,442.5,1417.5,174.5,63.2,0.0,12140.9,392.2,30608.4,227.9,16499.2,29584.7,0.0,801.6,0.0,2688.3,11864.6,537.8,2292.6,0.0,12859.8,0.0,0.0,4458.3,0.0,53.1,0.0,668.2
2020-01-01 13:00:00,0.0,430.6,1417.5,174.5,63.2,0.0,12825.2,453.2,32113.4,227.9,16464.6,32171.3,0.0,942.8,0.0,2614.1,9201.7,537.8,2292.6,0.0,13002.0,0.0,0.0,4029.6,0.0,53.1,0.0,668.2
2020-01-01 14:00:00,0.0,0.0,1417.5,174.5,63.2,0.0,14108.5,453.2,30948.1,227.9,15395.3,32725.6,1950.6,937.6,541.4,2724.5,13793.8,537.8,2292.6,0.0,13114.2,0.0,0.0,4029.6,0.0,53.1,0.0,668.2
2020-01-01 15:00:00,0.0,0.0,1900.1,0.0,48.4,0.0,21333.7,442.4,27589.6,395.5,15837.7,32013.2,3188.3,288.1,904.2,1126.0,15782.4,525.6,2292.6,0.0,12922.1,0.0,0.0,4029.6,0.0,0.0,0.0,1513.9
2020-01-01 16:00:00,0.0,3392.3,1417.5,0.0,113.6,0.0,24427.9,442.4,25885.0,450.1,16390.8,33355.7,1957.2,214.1,1165.5,407.7,27013.0,525.6,2292.6,0.0,15388.9,0.0,0.0,4029.6,0.0,0.0,0.0,1587.3
2020-01-01 17:00:00,0.0,3392.3,2075.7,0.0,113.6,0.0,24660.8,442.4,23724.8,516.4,18350.9,32041.6,2368.6,129.4,1545.5,0.0,38130.1,525.6,2292.6,0.0,14413.9,0.0,0.0,850.5,0.0,0.0,0.0,1617.4
2020-01-01 18:00:00,0.0,3573.8,1589.8,0.0,113.6,0.0,22873.4,442.4,28570.6,401.7,16841.6,32847.8,2500.2,129.4,1568.2,0.0,38436.1,525.6,2292.6,0.0,13057.9,0.0,0.0,1983.0,0.0,0.0,0.0,1617.4
2020-01-01 19:00:00,0.0,3392.3,1553.6,0.0,113.6,0.0,22602.8,442.4,30005.8,231.9,16513.0,28169.9,3274.4,158.9,2272.7,0.0,40359.6,525.6,2292.6,0.0,13212.8,0.0,0.0,2290.4,0.0,0.0,0.0,1604.6
